案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
10	臺東縣綠島鄉	2018-11-25T00:13:14+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T23:59:14+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T23:30:21+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T22:32:47+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:15:10+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:46:33+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T23:34:20+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T01:11:42+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-25T01:06:35+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:53:41+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:38:15+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T22:25:53+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
